latitude,longitude,diameter,description
28.6139,77.2090,0.15,Fine grained sand from Delhi construction site with high clay content
19.0760,72.8777,0.45,Medium coarse sand from Mumbai beach area with shell fragments
13.0827,80.2707,0.12,Very fine sand from Chennai coastal region with high quartz content
22.5726,88.3639,0.65,Coarse river sand from Kolkata vicinity with mica particles
12.9716,77.5946,0.28,Medium sand from Bangalore granite quarry with feldspar traces
26.9124,75.7873,0.08,Ultra fine sand from Jaipur desert region with minimal organic content
23.0225,72.5714,0.52,Coarse industrial sand from Ahmedabad area with uniform grain size
18.5204,73.8567,0.35,Medium sand from Pune construction aggregate with angular particles
25.5941,85.1376,0.18,Fine alluvial sand from Patna river delta with organic matter
30.7333,76.7794,0.75,Very coarse sand from Chandigarh quarry with limestone fragments
15.2993,74.1240,0.22,Fine coastal sand from Goa beach with high shell content
11.0168,76.9558,0.48,Medium sand from Coimbatore textile region with cotton fiber traces
20.2961,85.8245,0.33,Medium sand from Bhubaneswar laterite soil with iron oxide coating
31.1048,77.1734,0.85,Very coarse sand from Shimla mountain region with mica schist
9.9312,76.2673,0.19,Fine sand from Kochi backwater area with marine algae particles
17.6868,83.2185,0.41,Medium sand from Visakhapatnam port area with coal dust traces
21.1702,72.8311,0.67,Coarse sand from Surat diamond polishing unit with diamond dust
26.2389,73.0243,0.14,Fine sand from Jodhpur sandstone quarry with uniform red coloration
24.5854,73.7125,0.56,Coarse sand from Udaipur marble cutting unit with calcium carbonate
22.3072,73.1812,0.29,Medium sand from Indore agricultural field with organic soil mixture
34.1526,77.5771,0.95,Very coarse glacial sand from Leh region with angular rock fragments
27.1767,78.0081,0.11,Ultra fine sand from Agra Yamuna riverbank with high silt content
16.5062,80.6480,0.38,Medium sand from Guntur agricultural region with paddy husk particles
14.5204,78.8240,0.61,Coarse sand from Kurnool limestone quarry with calcite crystals
10.8505,76.2711,0.26,Medium sand from Salem magnesite mining area with magnesium traces
8.5241,76.9366,0.17,Fine sand from Trivandrum coastal erosion study site
32.7266,74.8570,0.72,Coarse alluvial sand from Jammu river terrace with granite pebbles
25.3176,82.9739,0.31,Medium sand from Varanasi Ganges riverbank with religious offerings
23.2599,77.4126,0.46,Medium sand from Bhopal lake sediment with aquatic plant debris
21.2787,81.8661,0.23,Fine sand from Raipur coal mining region with carbonaceous matter
